Species	Echolocation Emission Type	Diet
Aethalops_alecto	Non	frugivore
Ametrida_centurio	Nasal	frugivore
Anoura_geoffroyi	Nasal	nectarivore
Antrozous_dubiaquercus	Oral	insectivore
Antrozous_pallidus	Oral	insectivore
Artibeus_hartii	Nasal	frugivore
Artibeus_jamaicensis	Nasal	frugivore
Aselliscus_tricuspidatus	Nasal	insectivore
Balantiopteryx_io	Oral	insectivore
Balantiopteryx_plicata	Oral	insectivore
Balionycteris_maculata	Non	frugivore
Barbastella_barbastellus	Oral	insectivore
Barbastella_leucomelas	Oral	insectivore
Cardioderma_cor	Nasal	carnivorous
Carollia_brevicauda	Nasal	frugivore
Carollia_perspicillata	Nasal	frugivore
Centronycteris_centralis	Oral	insectivore
Centronycteris_maximiliani	Oral	insectivore
Centurio_senex	Nasal	frugivore
Chaerephon_leucogaster	Oral	insectivore
Chaerephon_pumilus	Oral	insectivore
Chiroderma_villosum	Nasal	frugivore
Chironax_melanocephalus	Non	frugivore
Choeronycteris_mexicana	Nasal	nectarivore
Chrotopterus_auritus	Nasal	carnivorous
Cistugo_lesueuri	Oral	insectivore
Coelops_frithii	Nasal	insectivore
Coleura_afra	Oral	insectivore
Cormura_brevirostris	Oral	insectivore
Corynorhinus_townsendii	Oral	insectivore
Craseonycteris_thonglongyai	Oral	insectivore
Cynomops_abrasus	Oral	insectivore
Cynopterus_brachyotis	Non	frugivore
Cynopterus_titthaecheilus	Non	frugivore
Desmodus_rotundus	Nasal	sanguivore
Diaemus_youngi	Nasal	sanguivore
Diclidurus_scutatus	Oral	insectivore
Diphylla_ecaudata	Nasal	sanguivore
Dobsonia_moluccensis	Non	frugivore
Dobsonia_praedatrix	Non	frugivore
Eidolon_helvum	Non	frugivore
Emballonura_alecto	Oral	insectivore
Emballonura_monticola	Oral	insectivore
Eonycteris_spelaea	Non	nectarivore
Epomophorus_wahlbergi	Non	frugivore
Epomops_franqueti	Non	frugivore
Eptesicus_fuscus	Oral	insectivore
Eumops_auripendulus	Oral	insectivore
Eumops_glaucinus	Oral	insectivore
Eumops_hansae	Oral	insectivore
Eumops_underwoodi	Oral	insectivore
Furipterus_horrens	Oral	insectivore
Glauconycteris_argentata	Oral	insectivore
Glauconycteris_variegata	Oral	insectivore
Glossophaga_soricina	Nasal	nectarivore
Hipposideros_armiger	Nasal	insectivore
Hipposideros_caffer	Nasal	insectivore
Hipposideros_commersoni	Nasal	insectivore
Hipposideros_fulvus	Nasal	insectivore
Hipposideros_pratti	Nasal	insectivore
Hipposideros_speoris	Nasal	insectivore
Hylonycteris_underwoodi	Nasal	nectarivore
Hypsignathus_monstrosus	Non	frugivore
Hypsugo_crassulus	Oral	insectivore
Kerivoula_minuta	Oral	insectivore
Lasionycteris_noctivagans	Oral	insectivore
Lasiurus_cinereus	Oral	insectivore
Lasiurus_intermedius	Oral	insectivore
Leptonycteris_curasoae	Nasal	nectarivore
Lonchophylla_robusta	Nasal	nectarivore
