Species	LF30	LF60	HF30	HF60	Basilar membrane length (mm)	Number of turns	Body mass (g)
Rousettus_aegyptiacus	5,5	2,25	54	64	11,01	1,75	140
Rhinolophus_ferrumequinum	9	4,3	97	103	17,29	3,25	22,6
Rhinopoma_hardwickii	26,25	NA	55	85	12,23	2,5	12,93
Megaderma_lyra	6	70	NA	100	9,9	NA	41,38
Myotis_lucifugus	12	10,3	100	115	8,45	2,25	7
Lasiurus_borealis	10	5	55	72	10,83	2,5	16,7
Noctilio_leporinus	18	7,5	64	111	16,27	2,75	59
Artibeus_jamaicensis	7,4	2,8	80	130	12,96	2,75	47
Desmodus_rotundus	12	9	88	74	15,25	3	28,5
Carollia_perspicillata	9,3	5,2	126	150	10,13	2,25	19,1
Phyllostomus_hastatus	4,2	1,77	87	105	NA	3	NA
Tadarida_brasiliensis	NA	NA	70	100	11,11	2,375	12,5
Taphozous_melanopogon	8	1,75	43,5	67,5	14,6	2,25	24
Taphozous_kachensis	19	NA	37	57,5	13,25	NA	49,2
Spalacopus_cyanus	0,28	0,25	16	20	11,68	3,5	90
Nannospalax_ehrenbergi	0,8	0,052	0,8	5,9	12,6	4	143
Meriones_unguiculatus	0,28	NA	44	58	12,1	3,25	50
Mus_musculus	2,3	3,4	66	92	6	1,95	22
Rattus_norvegicus	0,89	0,53	64	68	10,7	2,2	325
Cavia_porcellus	0,32	0,047	40	49	20,5	4,25	406
Chinchilla_lanigera	0,12	0,052	18,5	32,5	18,5	3	490
Dipodomys_merriami	0,096	0,042	27	52	9,83	3,25	50
Oryctolagus_cuniculus	0,445	0,096	35	49	15,25	2,5	2000
Macaca_nemestrina	0,093	NA	24,5	34,5	25,6	NA	8850
Callithrix_(Hapale)_jacchus	0,21	NA	18	30	NA	2,75	NA
Homo_sapiens	NA	0,031	NA	17,6	34,25	2,75	75000
Saimiri_sciureus	0,4	0,1	35	43	15,4	2,25	743,2
Bos_taurus	0,15	0,023	24	35	38	3,5	500000
Ovis_aries	0,44	0,125	35	45	NA	2,25	NA
Equus_caballus	0,235	0,055	23,5	33,5	NA	2,5	NA
Canis_familiaris	0,227	0,067	37	44	NA	3,25	NA
Felis_catus	0,15	0,055	60	79	22,5	3	2500
Procyon_lotor	0,134	NA	38	NA	NA	2,5	NA
Elephas_maximus	0,017	0,18	10,5	4,2	60	2,25	4000000
Zalophus_californianus	1,4	0,18	17,5	33	54,3	1,75	80000
Phoca_vitulina	0,72	0,16	16,9	23	NA	2,25	NA
Didelphis_virginiana	2,15	1,03	45	68	15	2,5	3000
Monodelphis_domestica	6,9	3,15	54	76	6,4	1,8	110
