Species	ACR	LCR	PCR	Cochlea size	Body mass (g)	Echolocation call type
Acinonyx_jubatus	2,423762376	2,281188119	2,495049505	NA	50167	non-bat
Acrobates_pygmaeus	0,7	0,7	0,8	NA	14	non-bat
Aepyceros_melampus	2,7	2,1	2,7	NA	50000	non-bat
Ailurops_ursinus	2,5	1,6	2,1	NA	7000	non-bat
Alcelaphus_buselaphus	3,255	2,79	3,255	NA	134250	non-bat
Alouatta_seniculus	2,9	2,0	2,4	NA	6700	non-bat
Anomalurus_derbianus	2,0	1,6	1,5	NA	453	non-bat
Anoura_geoffroyi	0,65	0,55	0,58	1,4	14,1	Nasal;Yan
Antechinomys_laniger	1,2	0,8	1,0	1,8	25	non-bat
Antilocapra_americana	2,592	2,835	2,673	NA	51500	non-bat
Aotus_trivirgatus	2,2	1,8	2,0	NA	775	non-bat
Arctocebus_calabarensis	1,7	1,2	1,4	NA	312	non-bat
Arctocephalus_australis	2,304	2,664	2,232	NA	91000	non-bat
Arctocephalus_pusillus	1,938	1,824	1,938	NA	57000	non-bat
Artibeus_jamaicensis	0,91	0,85	0,77	2,42	47	Nasal;Yan
Ateles_geoffroyi	3,3	2,1	2,8	NA	7535	non-bat
Avahi_laniger	2,0	1,6	2,0	NA	1175	non-bat
Axis_porcinus	2,808	2,262	2,73	NA	77833	non-bat
Balaena_mysticetus	2,7	2,6	2,5	NA	110000000	LF-cet
Balaenoptera_acutorostrata	2,1	1,9	1,8	12,6	8044000	LF-cet
Balaenoptera_borealis	NA	NA	NA	13,0	36666667	LF-cet
Balaenoptera_musculus	3,108	2,856	2,436	16,7	139000000	LF-cet
Balaenoptera_physalus	3,255	3,348	2,697	16,0	62500000	LF-cet
Berardius_bairdii	1,776	1,632	1,392	9,9	7810000	HF-cet
Blarina_brevicauda	0,8	0,6	0,7	NA	16	non-bat
Bos_bison	3,42	2,43	3,15	NA	480000	non-bat
Bos_taurus	3,5	2,8	3,3	NA	290000	non-bat
Bradypus_tridactylus	1,6	1,1	1,8	4,3	4620	non-bat
Bradypus_variegatus	1,6	1,1	1,5	NA	4340	non-bat
Cacajao_calvus	2,7	1,9	2,4	NA	3165	non-bat
Cacajao_melanocephalus	2,5	2,0	2,2	NA	2710	non-bat
Callimico_goeldii	1,8	1,3	1,7	NA	533	non-bat
Callithrix_jacchus	1,5	1,5	1,6	3,2	324	non-bat
Camelus_bactrianus	4,32	3,55	4,16	NA	415000	non-bat
Camelus_dromedarius	4,3	3,1	3,4	7,7	415000	non-bat
Canis_familiaris	2,4	2,0	2,1	4,8	13850	non-bat
Canis_latrans	2,415	2,208	2,277	NA	12650	non-bat
Caperea_marginata	2,55	2,85	2,1	12,8	4500000	LF-cet
Capra_hircus	2,93	2,39	3,14	NA	46750	non-bat
Capreolus_capreolus	2,268	1,827	2,205	NA	23900	non-bat
Cardioderma_cor	1,54	1,29	1,24	2,98	28	Nasal;Yin
Carollia_perspicillata	0,77	0,65	0,68	1,84	19,1	Nasal;Yan
Castor_canadensis	2,8	2,2	2,7	NA	18667	non-bat
Cavia_porcellus	1,8	1,46	1,51	NA	728	non-bat
Centurio_senex	0,75	0,61	0,64	2,04	22	Nasal;Yan
Cephalophus_silvicultor	2,958	2,61	3,132	NA	62500	non-bat
Cercartetus_nanus	0,8	0,6	0,6	NA	27	non-bat
Cercocebus_torquatus	2,6	2,4	2,4	NA	6200	non-bat
Cercopithecus_cephus	2,3	2,2	2,2	NA	4290	non-bat
Cercopithecus_diana	2,4	2,4	2,3	NA	5200	non-bat
Cercopithecus_mitis	2,7	2,5	2,3	NA	7930	non-bat
Cercopithecus_mona	2,3	2,3	2,3	4,1	5100	non-bat
Cercopithecus_nictitans	2,4	2,5	2,3	4,4	5465	non-bat
Cervus_elaphus	2,415	2,139	2,346	NA	85000	non-bat
Cervus_nippon	2,618181818	2,036363636	2,545454545	NA	23250	non-bat
Cheirogaleus_major	1,6	1,4	1,4	NA	400	non-bat
Cheirogaleus_medius	1,4	1,2	1,2	NA	261	non-bat
Cheiromeles_torquatus	2	1,74	1,7	4,86	135,5	Oral;Yan
Cheracebus_torquatus	2,3	1,9	2,1	NA	1245 	non-bat
Chinchilla_lanigera	2,02	1,55	1,35	NA	485	non-bat
Chlamyphorus_truncatus	0,87	0,82	0,88	NA	130	non-bat
Chlorocebus_aethiops	2,4	2,3	2,4	4,0	4099	non-bat
Choloepus_didactylus	2,06	1,45	1,88	NA	4150	non-bat
Choloepus_hoffmanni	1,9	1,1	2,1	NA	5720	non-bat
Cloeotis_percivali	0,39	0,36	0,36	1,81	4,05	Nasal;Yin
Colobus_guereza	2,8	2,5	2,6	NA	9774	non-bat
Colobus_polykomos	3,2	2,6	2,9	NA	9100	non-bat
Craseonycteris_thonglongyai	0,68	0,64	0,64	1,88	2,5	Oral;Yin
Crocuta_crocuta	3,219	2,436	3,045	NA	58600	non-bat
Cryptomys_hottentotus	1,2	1,1	1,0	NA	95	non-bat
Cyclopes_didactylus	1,59	1,06	1,23	NA	400	non-bat
Cynocephalus_volans	2,1	1,7	2,0	NA	1000	non-bat
Dactylopsila_trivirgata	1,4	1,3	1,2	NA	360	non-bat
Dama_dama	2,997	2,349	2,754	NA	56450	non-bat
Damaliscus_lunatus	3,627	2,604	3,069	NA	121500	non-bat
Daubentonia_madagascariensis	2,9	2,0	2,4	NA	2555	non-bat
Delphinapterus_leucas	1,066666667	1,433333333	0,8	9,1	804000	HF-cet
Dendrogale_murina	1,4	1,2	1,2	NA	45	non-bat
Desmodus_rotundus	1,15	0,84	1,01	2,21	28,5	Nasal;Yan
Diceros_bicornis	3,5	2,8	3,6	NA	1000000	non-bat
Didelphis_virginiana	1,4	1,0	1,2	NA	2195	non-bat
Dipus_sagitta	1,5	1,1	1,3	2,3	66	non-bat
Dugong_dugon	3,5	3,0	2,9	8,1	425000	non-bat
Elephas_maximus	4,0	2,8	4,1	10,5	3450000	non-bat
Enhydra_lutris	2,0	2,1	2,2	NA	27050	non-bat
Epomophorus_gambianus	1,29	1,08	1,28	NA	158	Non
Eptesicus_fuscus	0,87	0,77	0,67	NA	18,79	Oral;Yan
Equus_caballus	4,17	3,23	3,8	6,7	250000	non-bat
Equus_grevyi	3,19	2,55	3,1	NA	341000	non-bat
Erethizon_dorsatum	2,4	1,7	2,1	NA	10623	non-bat
Erinaceus_europaeus	1,4	1,19	1,21	2,4	780	non-bat
Erythrocebus_patas	2,5	2,6	2,4	NA	9450	non-bat
Eschrichtius_robustus	2,5	2,0	2,1	13,3	26750000	LF-cet
Eubalaena_glacialis	3,8	2,8	3,1	13,4	56525000	LF-cet
Eudorcas_thomsonii	2,55	2,175	2,775	NA	18333	non-bat
Eulemur_fulvus	2,5	2,0	2,2	NA	2146	non-bat
Eulemur_macaco	2,4	2,0	2,4	NA	2389	non-bat
Eulemur_mongoz	2,4	2,0	2,5	3,7	1606	non-bat
Euoticus_elegantulus	1,6	1,7	1,6	NA	289	non-bat
Felis_catus	1,82	1,63	1,83	4,6	3713	non-bat
Feresa_attenuata	NA	NA	NA	6,2	159250	HF-cet
Fukomys_mechowii	1,4	1,3	1,1	NA	400	non-bat
Galago_alleni	1,8	1,6	1,6	NA	277	non-bat
Galago_moholi	1,6	1,5	1,5	3,0	187	non-bat
Galago_senegalensis	1,6	1,6	1,7	NA	220	non-bat
Galagoides_demidoff	1,3	1,2	1,2	NA	61,5	non-bat
Galeopterus_variegatus	1,8	1,37	1,69	NA	1000	non-bat
Galidia_elegans	1,84	1,32	1,66	NA	900	non-bat
Gazella_bennettii	3,0	2,1	2,8	5,4	23000	non-bat
Genetta_genetta	1,776	1,392	1,632	NA	1500	non-bat
Giraffa_camelopardalis	4,23	3,41	3,44	NA	1190000	non-bat
Glaucomys_volans	1,15	1,15	1,04	2,4	62	non-bat
Gorilla_gorilla	2,85	3,05	2,54	NA	109790	non-bat
Grampus_griseus	NA	NA	NA	7,5	512500	HF-cet
