Family	Shi Tree label	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9	x10	y10	z10	x11	y11	z11	x12	y12	z12	x13	y13	z13	x14	y14	z14	x15	y15	z15	x16	y16	z16	x17	y17	z17	x18	y18	z18	x19	y19	z19	x20	y20	z20	x21	y21	z21	x22	y22	z22	x23	y23	z23	x24	y24	z24	x25	y25	z25	x26	y26	z26	x27	y27	z27	x28	y28	z28	x29	y29	z29	x30	y30	z30	x31	y31	z31	x32	y32	z32	x33	y33	z33	x34	y34	z34	x35	y35	z35	x36	y36	z36	x37	y37	z37	x38	y38	z38	x39	y39	z39	x40	y40	z40	x41	y41	z41	x42	y42	z42	x43	y43	z43	x44	y44	z44	x45	y45	z45	x46	y46	z46	x47	y47	z47	x48	y48	z48	x49	y49	z49	x50	y50	z50
stem	Vielasia_sigei	14,983923	3,8902121	2,3101206	13,991811	4,3440433	2,3749542	14,683739	2,8354118	2,1066589	12,8273	4,0427766	1,6059725	13,554884	2,5115535	1,4204063	9,9902487	3,9161167	0,72952819	11,527229	0,58264816	0,35763729	0,4907155	2,9737141	-0,32258797	4,4999247	-5,9101019	-1,0499516	1,0517867	1,4639909	-0,93074036	3,6465349	-4,4616556	-0,91548538	1,3722172	3,0776999	-2,399189	4,691834	-4,6047153	-2,9517837	5,8028855	3,0729988	-0,85413933	5,0863423	2,7872326	-0,55770111	4,3012905	3,0246615	0,050544739	3,8695207	3,1106977	1,1237383	3,3319879	3,2075598	2,067297	2,5373487	2,8489993	0,65406036	1,4751034	2,5904233	-0,086228371	0,6308881	2,1778827	-0,60369301	7,8655987	-1,6431141	-1,0962391	7,3814826	-2,1179073	-0,89987063	7,1238441	-2,9147801	-0,49986887	7,217658	-3,577965	0,23128176	7,0780563	-4,4150462	1,3498173	5,8862948	-4,5482149	0,066337585	4,9110236	-4,818522	-0,49489307	3,899344	-5,2582884	-1,0807824	0,79180908	3,2589457	-3,6263256	2,3144798	3,2207322	-2,9713421	3,34586	3,2478423	-3,02635	4,4275727	3,3299458	-3,0948009	5,8315468	3,6791804	-3,1306	7,1310959	3,9498904	-2,9731636	8,7000475	4,2286253	-2,4815769	10,128851	4,3782511	-1,9945297	11,474021	4,4808283	-1,446022	12,903502	4,3667274	-0,74628067	14,103468	4,1020322	0,22007489	13,551625	2,9480155	-0,7844286	12,728596	2,0557692	-1,4466848	11,612347	1,0942386	-2,1503515	10,21297	0,090775862	-2,7635937	8,8536787	-0,86818725	-3,2487042	7,7261524	-1,797593	-3,4535367	6,744441	-2,6407995	-3,397934	5,6730022	-3,3807487	-3,3690758	5,0089607	-4,2371478	-3,6426497	4,0561557	-4,6818929	-4,0644965
Cistugidae	Cistugo_lesueuri	16,801754	15,318922	14,110352	17,62886	16,140728	13,97683	16,086153	16,182205	13,83363	17,703062	16,725761	13,76348	15,85453	16,715103	13,597273	18,086485	18,163616	13,473103	15,336269	18,066998	13,253453	19,968977	25,257954	14,128024	12,76136	25,033003	13,773139	18,6085	25,286617	14,044225	14,106789	25,15649	13,729913	19,61854	25,084404	13,032091	13,234343	24,854086	12,585826	18,339624	21,696987	12,96119	18,6867	22,4484	13,1767	19,2465	22,7066	13,7381	19,6418	22,6166	14,5177	19,9242	22,9478	15,0995	19,9012	23,7294	14,7649	19,5979	24,4397	14,3414	19,259777	25,216751	14,113638	14,871571	21,605764	12,795142	14,4119	22,3086	12,9469	13,7699	22,4953	13,4302	13,3441	22,3521	14,1794	12,9245	22,6821	14,7353	12,9476	23,4523	14,3616	13,1664	24,204	13,9754	13,458286	25,009106	13,79419	19,864471	25,656845	12,375339	19,5179	24,7961	12,1551	18,9992	23,9439	12,1516	18,7074	22,9874	11,8229	18,3931	22,004	11,6146	18,1932	20,9749	11,6436	18,0487	19,9423	11,8022	17,9184	18,916	12,0105	17,7507	17,8982	12,2313	17,5146	16,8909	12,4364	16,871601	16,139549	12,561835	16,2081	16,8941	12,3016	15,9012	17,88	12,0468	15,682	18,896	11,8071	15,495	19,9287	11,6137	15,2809	20,9637	11,4677	14,9838	21,9809	11,445	14,574	22,9447	11,6448	14,0366	23,8217	11,8941	13,4967	24,5914	11,7713	13,000961	25,403139	11,993104
Craesonycteridae	Craseonycteris_thonglongyai	16,70248	17,434393	13,783031	17,294319	17,789873	13,993341	16,075371	17,767139	13,946586	17,508789	18,308887	13,787161	15,814781	18,275	13,680972	17,770725	19,23745	13,544979	15,57086	19,1728	13,411314	18,837757	24,15884	13,881422	14,064182	24,004326	13,552279	18,16552	24,256264	13,90889	14,739003	24,127214	13,664831	18,93309	24,070885	13,0805	14,03141	23,957233	12,740098	18,048189	21,93891	13,228178	18,2075	22,3373	13,2547	18,4096	22,5925	13,5042	18,6105	22,5408	13,8691	18,5585	22,8352	13,8669	18,4729	23,2485	13,8049	18,4678	23,6782	13,86	18,498146	24,101486	13,939814	15,181248	21,848091	13,097983	14,9982	22,2178	13,1452	14,7441	22,4197	13,3989	14,4522	22,4265	13,6814	14,4223	22,7234	13,6022	14,4934	23,1298	13,5367	14,4835	23,5493	13,575	14,44054	23,960844	13,645368	19,152758	24,245625	12,863251	19,0797	23,8819	12,8164	18,5202	23,4875	12,6255	18,2828	22,8165	12,3815	18,1448	22,091	12,2341	18,0268	21,3471	12,2883	17,9577	20,603	12,396	17,8864	19,8598	12,509	17,7207	19,1329	12,6238	17,413	18,4524	12,6996	16,847923	17,986818	12,633004	16,2181	18,3558	12,6221	15,829	18,9859	12,4987	15,6123	19,6951	12,3603	15,4964	20,43	12,236	15,3908	21,1694	12,1309	15,2232	21,9015	12,0664	14,9564	22,5875	12,1932	14,6226	23,2375	12,3702	14,0723	23,6939	12,3512	13,711846	24,014534	12,501783
Emballonuridae	Balantiopteryx_io	16,754652	16,449917	13,486514	17,524174	16,905514	13,81251	15,825157	16,914593	13,762211	17,677345	17,570061	13,696004	15,700244	17,528929	13,639595	17,889919	18,732468	13,324353	15,366283	18,630152	13,21991	19,803484	24,838812	14,248766	13,034789	24,58456	13,863707	18,652544	24,817863	14,364119	14,145562	24,59473	14,096736	19,840244	24,633907	13,244207	13,114435	24,373085	12,871593	18,183014	21,974266	13,026611	18,5135	22,5032	13,2928	19,0022	22,781	13,7025	19,4597	22,7378	14,2317	19,674	23,0168	14,6513	19,3701	23,354	14,1563	19,2623	24,0266	14,0999	19,177185	24,703136	14,270089	14,91254	21,837227	12,838479	14,587	22,268	13,1483	14,0548	22,5776	13,4229	13,5668	22,5152	13,9119	13,2032	22,7653	14,2265	13,5597	23,1472	13,828	13,6779	23,8144	13,7669	13,70532	24,492052	13,922375	20,443298	25,041027	12,875482	19,9893	24,4404	12,377	19,2519	23,8032	12,3848	18,7291	23,0074	12,2328	18,3499	22,2111	11,8348	17,9794	21,3235	11,8131	17,8559	20,3684	11,9813	17,7868	19,4216	12,216	17,6542	18,4768	12,4293	17,477	17,5544	12,6773	16,852474	16,886448	12,893823	16,1434	17,4958	12,7061	15,7361	18,2847	12,34	15,487	19,1959	12,1049	15,3795	20,1245	11,8332	15,2304	21,0665	11,6361	14,934	21,9764	11,5822	14,4588	22,7766	11,8575	13,8728	23,5219	12,0154	13,1073	24,1111	11,9603	12,436926	24,54052	12,39625
Emballonuridae	Balantiopteryx_io	16,810448	16,367033	13,676502	17,558289	16,906601	14,029357	15,86898	16,808872	13,965027	17,720013	17,500509	13,804291	15,648277	17,47459	13,702883	18,055195	18,649986	13,438301	15,391745	18,515556	13,31571	19,915077	24,792263	14,204268	12,898217	24,444771	13,740551	18,826674	24,737503	14,314666	13,975457	24,560863	13,977486	19,812298	24,634943	13,400877	13,05224	24,336802	12,981548	18,37674	21,86124	13,016106	18,6274	22,4581	13,2089	19,032	22,7399	13,6884	19,469	22,7213	14,2261	19,8136	22,9672	14,6184	19,4915	23,3645	14,1991	19,3562	24,0258	14,0908	19,40136	24,704433	14,188503	14,876639	21,693275	12,844807	14,5498	22,1765	13,113	14,0354	22,51	13,381	13,5661	22,4481	13,8712	13,1677	22,6543	14,1885	13,4428	23,0826	13,7885	13,5091	23,7623	13,7054	13,492172	24,446636	13,820562	20,483078	24,97411	12,904701	20,0335	24,3238	12,3927	19,2379	23,549	12,4158	18,7588	22,6072	11,9983	18,3189	21,5866	11,8017	18,1099	20,4823	11,9746	17,9844	19,3869	12,2623	17,7438	18,3086	12,5398	16,8528	17,7598	12,7519	16,607	17,3829	12,8366	16,932833	17,001715	12,773182	16,1247	17,3687	12,4628	15,767	18,263	12,4085	15,4642	19,167	12,1658	15,2861	20,0911	11,8776	15,1018	21,0341	11,6692	14,7961	21,9593	11,6257	14,3298	22,7809	11,8884	13,72	23,5206	12,0794	12,8653	23,9791	12,0061	12,407612	24,558922	12,374913
Emballonuridae	Balantiopteryx_io	16,777233	16,355761	13,908301	17,57811	16,958031	14,193118	15,841688	16,891823	14,013068	17,679379	17,537714	13,92309	15,71493	17,49852	13,782572	18,015219	18,600677	13,532385	15,412909	18,54833	13,335229	19,908823	24,622234	14,234298	12,873015	24,358988	13,87886	18,639149	24,619186	14,330945	14,067059	24,417679	14,140768	19,785629	24,435677	13,365877	13,088823	24,182327	12,947477	18,229158	21,863728	13,049675	18,4756	22,3239	13,3837	18,9957	22,6845	13,6275	19,4714	22,6648	14,114	19,7422	22,8709	14,5964	19,4388	23,2809	14,1819	19,3135	23,9365	14,1131	19,242605	24,615049	14,193841	14,953184	21,721807	12,908836	14,5813	22,1513	13,1576	14,0412	22,4477	13,4205	13,5349	22,3931	13,8461	13,134	22,5917	14,1492	13,4606	23,0472	13,8122	13,5603	23,7044	13,8197	13,534611	24,379093	13,899237	20,427004	24,750183	12,846289	20,0682	24,2101	12,3369	19,3314	23,6154	12,3717	18,8147	22,8704	12,155	18,3698	22,1165	11,8024	18,1465	21,2002	11,8204	18,0144	20,2763	12,0105	17,8471	19,3782	12,2788	17,6992	18,4838	12,5707	17,5201	17,5817	12,8114	16,916077	16,941544	13,068405	16,2011	17,3849	12,7192	15,8901	18,2778	12,5011	15,6252	19,1688	12,2095	15,4231	20,0743	11,916	15,2695	21,0069	11,6799	14,9886	21,9263	11,6005	14,5111	22,7219	11,8814	13,895	23,4338	12,0154	13,0783	23,9503	11,909	12,435472	24,508171	12,261262
Emballonuridae	Balantiopteryx_io	16,719555	16,799376	13,68099	17,404995	17,291264	13,965535	15,875172	17,255898	13,82128	17,487333	17,824608	13,768041	15,744968	17,789539	13,623573	17,821375	18,841728	13,413691	15,491045	18,790787	13,275351	19,829597	24,584316	14,093935	13,022911	24,330969	13,691463	18,732899	24,642258	14,17703	14,102139	24,453127	13,879173	19,799355	24,297283	13,369293	13,203745	24,042095	12,958998	18,169386	21,92527	12,993109	18,479	22,3791	13,2736	18,936	22,6721	13,6421	19,3557	22,6253	14,1374	19,6453	22,8436	14,4887	19,3821	23,2714	14,1327	19,3309	23,9207	14,0751	19,25499	24,570377	14,121264	15,003305	21,802544	12,833198	14,6725	22,2618	13,1452	14,1054	22,5232	13,3718	13,5967	22,4081	13,7922	13,2514	22,6097	14,103	13,5654	23,0687	13,7743	13,6381	23,7299	13,7287	13,620676	24,387733	13,777277	20,498615	24,543903	12,907391	20,086	24,0686	12,4944	19,3198	23,6316	12,3508	18,7068	23,0195	12,1944	18,3692	22,2672	11,8524	18,1514	21,4093	11,8123	18,0291	20,5431	11,9786	17,9158	19,6898	12,2245	17,7486	18,8392	12,4454	17,505	17,9916	12,5815	16,91436	17,441286	12,822569	16,1165	17,6748	12,4397	15,7555	18,5242	12,3974	15,5352	19,3957	12,1566	15,4328	20,2812	11,8857	15,2952	21,1768	11,6807	14,999	22,0449	11,6624	14,4996	22,7815	11,9283	13,8278	23,4038	12,0101	12,9771	23,7744	12,0731	12,506566	24,280346	12,452929
Emballonuridae	Balantiopteryx_io	16,916981	16,675972	13,565403	17,528286	17,162115	13,949396	16,013397	17,089008	13,876839	17,756195	17,730799	13,78619	15,765965	17,595112	13,640047	18,023718	18,81356	13,38196	15,475718	18,686693	13,235105	19,770021	24,757933	14,091908	13,102612	24,423107	13,629887	18,607548	24,676903	14,228683	14,284986	24,445324	13,929979	19,794987	24,5317	13,342048	13,227531	24,285389	12,869555	18,283232	21,974125	13,032606	18,555	22,4386	13,3628	19,0056	22,7449	13,6892	19,3858	22,7744	14,2136	19,6693	23,0254	14,6402	19,4098	23,3806	14,2125	19,3332	24,0009	14,1241	19,15757	24,622702	14,118114	15,001579	21,810961	12,844589	14,6242	22,2597	13,0956	14,1315	22,5573	13,3929	13,6706	22,5653	13,8508	13,3208	22,729	14,2225	13,609	23,0998	13,8069	13,6687	23,7308	13,7096	13,739525	24,382225	13,752473	20,479298	24,867435	12,897396	20,1456	24,2417	12,52	19,4208	23,6797	12,5438	18,8513	22,9989	12,288	18,4441	22,2424	11,9405	18,1606	21,3798	11,8398	18,0242	20,4781	12,0104	17,9354	19,5797	12,2266	17,7967	18,6913	12,4534	17,4859	17,8359	12,546	16,946609	17,283974	12,962086	16,2044	17,5759	12,4791	15,8775	18,4342	12,3627	15,6038	19,3108	12,0961	15,4593	20,2189	11,832	15,2861	21,1364	11,6333	14,9402	22,0069	11,6315	14,413	22,7537	11,9069	13,7623	23,4374	11,9832	12,9084	23,8406	12,0859	12,551105	24,508877	12,363539
Emballonuridae	Balantiopteryx_plicata	16,725466	15,897966	13,4329	17,510395	16,370831	13,877786	15,909122	16,349323	13,68788	17,629318	17,053537	13,695004	15,870726	17,053833	13,525261	17,947981	18,369545	13,388498	15,389923	18,254124	13,178774	19,993668	25,261089	14,434073	12,718941	25,020985	14,011563	18,76252	25,384193	14,462294	13,913837	25,143038	14,224759	20,059204	25,104849	13,407413	12,816525	24,816174	13,064957	18,302607	21,92428	12,953612	18,5584	22,6039	13,2238	18,9772	23,0359	13,7231	19,4813	23,0217	14,3225	19,8997	23,2563	14,6332	19,5438	23,74	14,2279	19,3423	24,4989	14,3126	19,333155	25,28956	14,413296	14,974127	21,81184	12,865599	14,6485	22,409	13,1026	14,0298	22,8112	13,3311	13,4779	22,7988	13,853	13,0367	22,8828	14,2988	13,3141	23,4449	13,9089	13,4573	24,2126	13,9778	13,411633	24,993565	14,087694	20,555706	25,335758	13,06934	20,372	24,9894	12,2852	19,45	24,4126	12,2591	18,7805	23,5539	12,3033	18,4539	22,5602	12,0797	18,2339	21,6099	11,7194	18,0568	20,5221	11,8371	17,8407	19,4532	12,0353	17,6642	18,3674	11,977	17,4216	17,2981	12,138	16,90143	16,540941	12,614192	16,1731	17,1226	12,134	15,8062	18,1433	12,0739	15,6096	19,2075	11,8785	15,4341	20,28	11,7006	15,1809	21,3408	11,5446	14,8953	22,3814	11,6291	14,4171	23,3055	11,9796	13,6515	24,0748	11,9975	12,6923	24,5686	11,8889	12,235402	25,113495	12,493139
Emballonuridae	Balantiopteryx_plicata	16,776508	15,987174	13,539956	17,391937	16,55685	13,47867	16,062546	16,41983	13,562191	17,740971	17,150471	13,70307	15,810154	17,025898	13,615887	18,210766	18,421227	13,293096	15,271525	18,300255	13,148162	20,34407	25,141026	14,318533	12,481694	24,760849	13,792076	19,096666	25,297565	14,279602	13,741864	25,020367	13,932621	20,260641	25,015591	13,608704	12,65501	24,625277	13,127676	18,651255	21,884285	12,862545	18,9488	22,5402	13,1003	19,3661	22,9809	13,5666	19,8117	22,9594	14,1831	20,214	23,1585	14,7448	19,8975	23,6228	14,3091	19,7547	24,3607	14,1863	19,689392	25,121063	14,253877	14,522079	21,70586	12,602623	14,1609	22,3332	12,8023	13,6769	22,7021	13,2669	13,1375	22,7662	13,7824	12,7361	22,8024	14,2545	13,0771	23,3199	13,852	13,2166	24,0628	13,751	13,232985	24,826586	13,839569	21,100437	25,137737	13,058727	20,8933	24,5916	12,5392	19,9456	24,1285	12,4383	19,3055	23,2286	12,396	19,0702	22,246	11,9453	18,7522	21,1749	11,8297	18,4494	20,0955	11,8874	18,2563	19,0067	12,0864	17,9933	17,9364	12,296	17,5794	16,9509	12,4426	16,760103	16,387495	12,794127	16,0057	16,9473	12,3088	15,5414	17,9519	12,1236	15,2374	19,0081	11,8787	15,0105	20,0857	11,6316	14,7181	21,1572	11,4332	14,3159	22,1875	11,5365	13,9466	22,9788	12,1652	13,1436	23,7323	12,0935	12,1839	24,1085	12,041	11,805422	24,715931	12,479348
