Family	Shi Tree label	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6	x7	y7	z7	x8	y8	z8	x9	y9	z9	x10	y10	z10	x11	y11	z11	x12	y12	z12	x13	y13	z13	x14	y14	z14	x15	y15	z15	x16	y16	z16	x17	y17	z17	x18	y18	z18	x19	y19	z19	x20	y20	z20	x21	y21	z21	x22	y22	z22	x23	y23	z23	x24	y24	z24	x25	y25	z25	x26	y26	z26	x27	y27	z27	x28	y28	z28	x29	y29	z29	x30	y30	z30	x31	y31	z31	x32	y32	z32	x33	y33	z33	x34	y34	z34	x35	y35	z35	x36	y36	z36	x37	y37	z37	x38	y38	z38	x39	y39	z39	x40	y40	z40	x41	y41	z41	x42	y42	z42	x43	y43	z43	x44	y44	z44	x45	y45	z45	x46	y46	z46	x47	y47	z47	x48	y48	z48	x49	y49	z49	x50	y50	z50	x51	y51	z51	x52	y52	z52	x53	y53	z53	x54	y54	z54	x55	y55	z55	x56	y56	z56	x57	y57	z57	x58	y58	z58	x59	y59	z59	x60	y60	z60	x61	y61	z61	x62	y62	z62	x63	y63	z63	x64	y64	z64	x65	y65	z65	x66	y66	z66	x67	y67	z67	x68	y68	z68	x69	y69	z69
stem	Vielasia_sigei	-7,7945576	19,311678	7,0423174	-7,8086195	19,299519	6,0445704	-8,1590166	17,908741	4,9481506	-8,0578785	17,949886	8,0389614	-8,3235073	16,410765	8,7946796	-8,3764935	16,415941	4,2781324	-9,1195393	14,347683	10,184507	-9,2571697	14,245261	2,9585364	-9,1817722	10,690541	10,909851	-9,2936707	10,716892	2,1801267	-8,3822708	7,4431839	7,6943269	-8,3987627	7,4124203	5,4643002	-7,4195271	5,8637261	9,7917604	-7,4829807	5,8096633	3,4035175	-6,7529917	3,1967087	11,104449	-6,9549866	3,4251702	2,2620153	-6,9828129	4,3930817	10,817613	-7,06178	4,3589902	2,4243097	-6,5645571	3,7186933	9,8794737	-6,7610931	3,7510383	3,4824145	-6,020896	0,82199585	9,1450615	-6,0430698	0,68662781	4,1446247	NA	NA	NA	-6,9738045	2,2112877	6,6874933	-8,047123	9,9209337	6,5875158	-8,0852642	17,041599	6,5834193	-5,6437569	18,278896	6,5246658	-5,3495502	17,149563	6,4649572	-4,8657532	15,502748	6,4836912	-4,4311485	13,866551	6,4151869	-3,7136326	12,127478	6,3991218	-2,8214207	10,252588	6,4336677	-2,0171738	8,4034357	6,5397186	-1,7267265	6,7234683	6,4868197	-1,3287106	4,9705529	6,5654626	-0,95580101	3,1052086	6,5660553	-0,77828693	1,0896236	6,6203532	-6,2951264	14,404107	10,255516	-7,7076387	13,570186	10,812371	-8,2554417	12,446827	11,255401	-8,2440987	11,248918	11,937958	-8,0473232	10,356859	12,404715	-7,993557	10,197472	12,430025	-7,1100159	6,9091682	12,585338	-6,7980595	5,4136147	11,650452	-8,8761024	10,721011	11,208752	-8,6224899	10,037467	12,046964	-8,4934044	9,8355713	12,20056	-8,4608765	9,8130465	12,249011	-7,443594	7,0663352	12,546783	-7,3724885	6,7579365	12,451148	-7,3933387	6,4920297	12,428073	-7,3542447	5,9386263	11,834895	-6,7067385	14,35132	2,7320938	-8,1289988	13,254966	2,1371422	-8,3817892	12,192836	1,8345866	-8,3771029	11,283713	1,4178367	-8,1831236	10,474803	0,91128993	-8,1339464	10,274997	0,84362411	-7,278513	6,9114232	0,6056447	-6,8714504	5,2222991	1,6358023	-9,0748692	10,771749	1,9528692	-8,801568	10,095695	1,2221417	-8,6890306	9,9297533	1,2274609	-8,6712637	9,8174171	1,1390996	-7,5695152	7,016768	0,6358633	-7,46731	6,6638255	0,76590061	-7,4308567	6,3144569	0,96354485	-7,4979916	6,0390692	1,3834848
Cistugidae	Cistugo_lesueuri	17,125912	8,167124	16,527292	15,136312	8,304543	16,634205	17,866104	9,146661	16,048132	14,355251	9,19826	16,197269	18,148031	9,899927	15,856171	14,149855	9,989397	15,979963	18,556696	11,13774	15,4869	13,548629	11,103517	15,532505	18,463785	14,157722	15,616383	13,90301	14,229707	15,727241	17,152405	16,931023	15,488037	15,337809	16,94706	15,529083	18,666664	17,375889	16,288839	13,788739	17,365597	16,426807	19,902988	19,67201	16,598763	12,676826	19,797962	16,800488	NA	NA	NA	13,082892	18,864044	16,570068	NA	NA	NA	14,475826	19,177586	15,725266	18,749996	21,796143	17,362534	13,993007	21,870731	17,442993	16,336288	22,497463	19,087717	16,301727	20,361023	16,457975	16,211802	15,190907	16,065105	16,163137	10,057993	16,674726	16,199997	10,113243	18,188578	16,1134	11,3595	18,3184	16,0944	12,6135	18,5418	16,161	13,6444	19,2501	16,2477	14,6983	19,9295	16,3204	15,8629	20,4461	16,3594	17,0901	20,7903	16,3764	18,3498	20,9989	16,4331	19,6033	21,2361	16,48	20,8557	21,3947	16,484564	21,951614	20,794647	18,543819	11,406647	16,842039	19,0567	12,2117	16,3181	19,5002	13,1661	16,0195	20,115	14,0548	16,0668	20,5113	14,9545	16,4665	20,7285	15,9952	16,3974	20,676	17,046	16,6393	19,887808	17,775282	16,714899	19,358994	13,484413	15,291388	19,8968	13,9245	15,4355	20,2494	14,4686	15,7343	20,5065	15,0808	16,0007	20,6632	15,7591	16,1667	20,7456	16,4575	16,2909	20,6783	17,1556	16,3404	20,056553	17,390907	16,27976	13,68836	11,616796	16,7911	13,2302	12,5153	16,3848	12,763	13,4655	16,1404	12,1834	14,3777	16,2546	11,8713	15,3024	16,6868	11,7528	16,3644	16,6507	11,9191	17,3902	16,8727	12,711251	17,968315	16,962376	12,961866	13,624033	15,478397	12,4416	14,064	15,6613	12,1148	14,6287	15,9271	11,8879	15,2404	16,2033	11,7524	15,9026	16,4096	11,7082	16,6026	16,5036	11,8156	17,2958	16,5401	12,394201	17,626802	16,500601
Craesonycteridae	Craseonycteris_thonglongyai	16,34922	10,821248	16,901789	15,632994	10,841362	16,880919	17,151333	11,268456	16,630455	14,847967	11,320471	16,620388	17,513409	11,810154	16,252991	14,515462	11,994312	16,291176	17,880123	12,338167	15,95169	14,124907	12,472692	15,957438	17,96595	14,567555	15,882851	14,372824	14,776897	15,941132	17,117229	16,299656	15,874657	15,380897	16,355297	15,853821	17,997749	16,697199	16,434408	14,620639	16,998289	16,470013	19,118153	18,592154	16,472898	13,746927	19,019499	16,634588	18,929565	17,766647	16,823055	13,867668	18,03899	16,896084	18,455772	17,831501	15,719259	14,254381	18,04265	15,75671	18,247639	20,366959	17,318033	14,807079	20,599144	17,43708	16,622131	21,303076	18,373096	16,421661	19,277027	16,770292	16,19618	14,991282	16,610188	16,093212	12,484065	16,815639	16,080013	12,488619	17,88689	16,1314	13,5502	18,1137	16,1379	14,1429	18,9817	16,1576	14,6998	19,9097	16,3365	15,4729	20,2755	16,3289	16,1333	20,8296	16,4112	17,1968	21,0621	16,4667	18,2869	21,0216	16,5456	19,3595	20,9149	16,616	20,4065	20,6759	16,637449	21,21279	19,977106	18,151073	12,62531	16,724892	18,2486	13,2193	16,3182	18,367	13,9271	16,2248	18,3914	14,5327	16,0971	18,8046	14,8014	16,5796	19,013	15,4967	16,4266	19,2134	16,2009	16,4257	19,024834	16,798748	16,802736	18,503252	14,192556	15,749266	18,6429	14,5479	15,8174	18,7597	14,9043	15,92	18,8762	15,2568	16,0369	19,0049	15,6077	16,1423	19,1089	15,9735	16,221	19,1464	16,3468	16,2902	18,895359	16,574326	16,30238	13,929411	12,842016	16,875416	13,8985	13,285	16,4045	13,9177	13,9339	16,2664	13,7034	14,5375	16,4295	13,5709	15,1408	16,6459	13,4445	15,7965	16,6236	13,3509	16,4493	16,5543	13,556872	17,005556	16,792658	13,815433	14,511265	15,842513	13,7122	14,8802	15,9128	13,6185	15,239	16,0359	13,5339	15,5947	16,174	13,4605	15,9643	16,2777	13,4053	16,3438	16,3516	13,4449	16,7208	16,396	13,771348	16,892666	16,372604
Emballonuridae	Balantiopteryx_io	16,595512	9,140989	16,362593	15,640731	9,132252	16,405432	17,566944	9,877424	16,487827	14,760275	9,924455	16,519672	17,906818	10,65699	16,192713	14,400282	10,686222	16,287735	18,445738	11,677082	15,451198	13,767741	11,71208	15,515461	18,823292	14,313772	15,397567	13,606175	14,399843	15,498408	17,405796	16,214367	14,861467	14,997869	16,210005	14,903878	18,738661	17,069191	16,303209	13,831018	17,181536	16,413799	20,191744	19,483467	16,703491	12,41276	19,477617	16,794138	19,807652	18,308235	16,738073	12,758844	18,430244	16,894554	19,132027	18,61076	15,352549	13,409689	18,66946	15,477175	18,361414	21,077862	16,90943	14,290838	21,128868	17,122631	16,449032	22,242367	17,912628	16,322691	20,010502	16,408817	16,234272	14,621053	16,284983	16,185207	11,030896	16,833887	16,245636	11,114661	18,243177	16,3078	12,2637	18,3689	16,3778	13,3537	18,8038	16,3409	14,2346	19,513	16,3555	15,0464	20,3702	16,3875	15,8911	21,1556	16,4209	17,0378	21,452	16,4686	18,2226	21,4815	16,429	19,4035	21,3913	16,4709	20,575	21,2661	16,463104	21,675343	20,84145	19,265358	11,637441	16,384411	19,3122	12,3719	15,6679	19,5127	13,3663	15,5143	19,7717	14,3262	15,7094	20,3513	14,7864	16,3455	20,5271	15,7579	16,5989	20,6515	16,7849	16,6825	20,112846	17,561199	16,802454	19,556355	14,223488	15,492423	19,8537	14,5563	15,7664	20,1277	14,9451	15,989	20,2785	15,391	16,2181	20,3843	15,8888	16,351	20,5225	16,3867	16,449	20,515	16,8882	16,4269	20,099178	17,038074	16,185078	13,094576	11,911895	16,180853	13,0283	12,7142	15,6596	12,7968	13,6351	15,6669	12,4761	14,4348	16,0443	12,0352	15,0728	16,5602	11,9269	16,0175	16,7302	11,939	16,9764	16,832	12,514363	17,682716	16,929087	12,818241	14,501711	15,704821	12,4999	14,7951	15,9665	12,3184	15,1959	16,2226	12,209	15,6564	16,4132	12,1032	16,1398	16,5419	11,9725	16,6214	16,5846	12,0934	17,0979	16,5715	12,496928	17,278889	16,343836
Emballonuridae	Balantiopteryx_io	16,483067	9,172455	16,921522	15,5452	9,204848	17,035461	17,479111	9,845915	16,683062	14,638148	9,933615	16,767946	17,836876	10,521364	16,43367	14,304263	10,655942	16,571497	18,406391	11,616669	15,621491	13,730802	11,706879	15,766817	18,819824	14,177	15,407541	13,513605	14,358994	15,532682	17,275974	16,090805	14,920843	15,127172	16,086838	14,971348	18,806662	16,959297	16,280594	13,78203	17,188288	16,407703	20,202345	19,512081	16,627893	12,421401	19,533491	16,77774	19,868965	18,164097	16,645596	12,743885	18,322868	16,779196	19,164886	18,360683	15,208481	13,365252	18,540051	15,323992	18,382088	21,122986	16,769028	14,432278	21,259483	16,924919	16,395367	22,149765	17,473541	16,334368	19,995693	16,178026	16,192795	14,589665	16,374477	16,121155	11,087672	17,043634	16,082024	11,050364	18,449442	16,1477	12,2926	18,474	16,2114	13,5241	18,8164	16,2634	14,338	19,7224	16,338	15,0774	20,7689	16,3836	16,1641	21,4196	16,395	17,4335	21,5814	16,3826	18,7136	21,4772	16,4709	19,9801	21,3822	16,4883	21,2283	21,0905	16,58427	22,240032	20,344475	19,174721	11,607567	16,30405	19,3261	12,4127	15,7231	19,6024	13,3306	15,4739	19,8452	14,2419	15,8083	20,3082	14,7434	16,3245	20,5562	15,6287	16,5902	20,7072	16,6201	16,6164	20,216505	17,427425	16,733479	19,44912	14,293374	15,517374	19,8284	14,5476	15,782	20,1204	14,9084	16,0442	20,3043	15,375	16,2243	20,4519	15,8769	16,3334	20,6079	16,38	16,406	20,5455	16,8682	16,3429	20,081097	16,908886	16,115419	13,067118	11,787022	16,618582	12,9269	12,5042	15,9098	12,6917	13,4706	15,6832	12,4314	14,3732	16,034	12,0508	15,0593	16,6593	11,9212	16,0597	16,8042	11,882	17,0817	16,8246	12,513544	17,841705	16,953798	12,872375	14,378302	15,619258	12,6029	14,7359	15,9074	12,3804	15,1419	16,1704	12,1964	15,5987	16,3715	12,0721	16,0938	16,5186	11,9588	16,6104	16,5676	12,0168	17,1258	16,5352	12,443478	17,227312	16,29397
Emballonuridae	Balantiopteryx_io	16,47855	9,256052	16,709103	15,567854	9,313644	16,709789	17,323393	9,97417	16,779964	14,663759	10,043781	16,851131	17,814693	10,722288	16,494593	14,360138	10,850158	16,563047	18,365208	11,706148	15,619838	13,741605	11,812605	15,727016	18,60339	14,247648	15,58626	13,628045	14,488031	15,595024	17,297279	16,15419	14,853812	15,135695	16,253139	14,943537	18,613445	16,908943	16,283981	13,884909	17,18239	16,403555	20,129066	19,333622	16,659319	12,602901	19,610147	16,823908	19,767794	18,185587	16,664598	12,868266	18,418571	16,844177	19,059055	18,400686	15,238688	13,592763	18,58387	15,376803	18,37056	20,928547	16,94865	14,483442	21,118534	17,036617	16,545677	22,201679	17,970921	16,327301	19,939655	16,378845	16,163813	14,70459	16,287647	16,103819	11,125328	16,901455	16,16946	11,194481	18,341036	16,2448	12,3595	18,3567	16,2486	13,4755	18,7186	16,2654	14,2401	19,4913	16,3458	14,9239	20,4641	16,4223	15,8551	21,1638	16,4366	17,0091	21,451	16,444	18,1999	21,4794	16,4892	19,3853	21,4107	16,5613	20,5441	21,1487	16,6101	21,636898	20,688461	19,085934	11,6347	16,60022	19,2653	12,259	15,8047	19,4274	13,2332	15,5554	19,6882	14,1641	15,8247	20,2776	14,8232	16,3671	20,5218	15,7919	16,5699	20,574	16,8178	16,6815	19,986435	17,592201	16,76141	19,428228	14,238873	15,492768	19,7313	14,5349	15,7843	19,9896	14,9272	16,001	20,1851	15,3694	16,1867	20,3468	15,8398	16,3339	20,5204	16,3175	16,4106	20,4143	16,7753	16,4152	20,10862	17,062023	16,156927	13,105631	11,844636	16,633926	12,9929	12,632	15,9016	12,8184	13,711	15,7263	12,5736	14,6477	16,0797	12,0769	15,442	16,5978	11,8915	16,509	16,791	12,1553	17,3912	16,8179	12,502978	17,765324	16,888233	12,942195	14,349945	15,598834	12,6891	14,7327	15,8993	12,4617	15,1748	16,1321	12,2845	15,6538	16,3334	12,1439	16,1617	16,4859	12,0027	16,6799	16,5877	12,0342	17,2105	16,5972	12,465066	17,386635	16,358088
Emballonuridae	Balantiopteryx_io	16,552288	9,625351	16,700077	15,540587	9,614244	16,660782	17,254959	10,316577	16,771294	14,797559	10,359838	16,789476	17,592735	10,963287	16,61544	14,59191	11,076059	16,633209	18,220524	11,889091	15,795341	13,970454	11,960781	15,837561	18,584913	14,453075	15,532643	13,717712	14,590559	15,640797	17,307339	16,30102	14,928408	15,268438	16,286106	14,94973	18,722691	17,043943	16,25939	13,910377	17,261026	16,378532	20,044662	19,491497	16,489956	12,661507	19,712046	16,594103	19,735731	18,299175	16,653584	12,885611	18,424789	16,778688	19,182156	18,440371	15,308384	13,573673	18,346987	15,376457	18,364424	20,96059	16,985416	14,400968	21,090118	17,074677	16,57267	22,057804	17,933392	16,304909	20,024036	16,406725	16,239208	14,753643	16,342524	16,01712	11,624463	17,046736	16,121595	11,464794	18,454271	16,181	12,5907	18,3942	16,2015	13,7003	18,8152	16,2615	14,4445	19,6865	16,3	15,0902	20,6839	16,3437	16,0418	21,3694	16,3926	17,1981	21,6138	16,4409	18,3841	21,6691	16,4949	19,571	21,6782	16,5261	20,719	21,4339	16,482513	21,722647	20,824768	18,94857	11,947852	16,522854	18,9035	12,6354	15,9077	19,1097	13,5338	15,7184	19,5393	14,3447	15,8851	20,2018	14,8666	16,2703	20,4501	15,7536	16,4201	20,4818	16,6763	16,5889	19,933279	17,382622	16,665344	19,218868	14,098337	15,506329	19,5887	14,4159	15,7169	19,9199	14,7865	15,8977	20,1246	15,2335	16,0989	20,2642	15,7233	16,2509	20,4242	16,219	16,3544	20,3234	16,7009	16,3446	19,904835	16,93453	16,143982	13,280037	12,086774	16,580212	13,3593	12,7662	15,9741	13,1311	13,6524	15,8022	12,7221	14,4461	16,0789	12,2877	15,1304	16,5589	12,1037	16,0418	16,6452	12,1271	16,9648	16,7826	12,724685	17,62406	16,862984	13,172474	14,202551	15,62961	12,8378	14,5696	15,8498	12,5813	15,0036	16,0516	12,3832	15,454	16,2814	12,2062	15,9381	16,4573	12,0672	16,4577	16,5288	12,2018	16,9693	16,5379	12,647856	17,164028	16,333942
Emballonuridae	Balantiopteryx_io	16,68898	9,344116	16,684891	15,754684	9,337181	16,746246	17,508959	10,117921	16,607841	14,975282	10,145125	16,673386	17,87566	10,759218	16,426424	14,530106	10,871105	16,454542	18,485023	11,742794	15,628891	13,913173	11,74535	15,756653	18,84771	14,403264	15,55278	13,628683	14,470952	15,636357	17,384205	16,144028	15,043391	15,157873	16,196325	15,069593	18,547356	17,054691	16,330307	14,009604	17,117516	16,388655	19,893982	19,458862	16,38089	12,73277	19,544674	16,544941	19,615494	18,412376	16,65789	12,985376	18,454979	16,740767	18,99704	18,45426	15,353002	13,539312	18,531059	15,445609	18,246994	21,079599	16,839977	14,398626	21,155073	16,94532	16,399799	22,19067	17,739151	16,24637	19,977093	16,409859	16,301197	14,757661	16,301888	16,29179	11,238551	16,909037	16,301023	11,07338	18,2689	16,3151	12,2881	18,3277	16,3259	13,4099	18,855	16,3095	14,2917	19,6635	16,325	15,0254	20,6708	16,335	16,048	21,3242	16,3529	17,2659	21,5616	16,3742	18,511	21,5439	16,4005	19,6986	21,4381	16,3655	20,8861	21,1589	16,323303	21,931236	20,646025	19,200686	11,973497	16,200901	19,3687	12,7464	15,6947	19,4314	13,6854	15,6978	19,7891	14,4758	16,0026	20,2611	15,0843	16,537	20,4627	15,988	16,6907	20,4415	16,9316	16,7588	19,901684	17,585318	16,78824	19,357502	14,148704	15,396935	19,6225	14,5278	15,7082	19,9081	14,9562	15,9214	20,1123	15,3843	16,214	20,3133	15,8586	16,4234	20,4441	16,3911	16,4954	20,3656	16,904	16,4002	19,916969	17,005341	16,124809	13,206919	11,99211	16,389297	13,1333	12,7536	15,8476	12,9527	13,669	15,7171	12,7702	14,4751	16,1383	12,3114	15,0972	16,7012	12,0904	16,0111	16,7983	12,0838	16,9696	16,8068	12,666752	17,662788	16,876789	13,086612	14,378792	15,626111	12,8276	14,7123	15,935	12,6065	15,1311	16,1609	12,4219	15,5639	16,3956	12,2524	16,032	16,5659	12,1114	16,5331	16,6132	12,2261	16,9922	16,4878	12,667604	17,081303	16,233685
Emballonuridae	Balantiopteryx_plicata	16,8221	8,741992	17,28945	15,691474	8,711346	17,322006	17,726961	9,570406	17,235491	14,818691	9,561539	17,341724	18,048466	10,445486	16,953543	14,494734	10,412904	16,976067	18,70578	11,608494	15,928629	13,802071	11,561589	16,05525	18,896954	14,44836	15,524144	13,800255	14,491802	15,608009	17,459887	17,069416	14,666398	15,117779	16,999666	14,693445	18,767935	17,704258	16,032896	13,794914	17,660154	16,158344	20,282337	20,362774	15,922298	12,335408	20,396259	16,056562	19,912167	19,306463	16,334265	12,622696	19,330084	16,444023	19,089977	19,258411	14,676798	13,317856	19,368912	14,776325	18,450283	22,27264	16,549746	14,178706	22,284801	16,564732	16,234737	23,321804	17,367805	16,288532	21,207237	15,801142	16,294704	14,875433	16,544569	16,304245	10,740778	17,3899	16,301563	10,717608	18,892937	16,3291	11,6851	19,3179	16,3105	12,9567	19,3137	16,1673	14,2061	19,3755	16,3375	15,0451	20,305	16,3707	16,0396	21,0919	16,4064	17,2076	21,6195	16,4806	18,4535	21,8979	16,4509	19,7072	21,6622	16,4056	20,877	21,2578	16,478407	22,146017	21,223888	19,590878	11,574408	17,4319	19,8129	11,8159	16,2847	20,1223	12,9093	15,6555	20,0589	14,1934	15,6146	20,3293	15,1713	16,3941	20,4868	16,3629	16,7758	20,6068	17,6532	16,6895	20,227818	18,475506	16,502834	19,776783	14,352695	15,220219	20,0352	14,8496	15,4528	20,223	15,3626	15,7099	20,3098	15,8927	15,9902	20,4028	16,449	16,213	20,57	17,0123	16,3378	20,5694	17,5919	16,2809	20,337368	17,874912	15,901806	12,974939	11,598839	17,226431	12,7631	12,0815	16,2082	12,5405	13,1965	15,7705	12,5	14,3677	15,9958	12,1738	15,3282	16,6916	11,8726	16,4745	16,8289	11,8495	17,6984	16,7487	12,525232	18,593916	16,807526	12,746548	14,384083	15,427157	12,5199	14,8796	15,641	12,3138	15,3856	15,85	12,1616	15,8989	16,0862	12,0018	16,4254	16,2847	11,8446	16,9767	16,3972	11,8135	17,5479	16,3804	12,180982	17,848459	16,085072
Emballonuridae	Balantiopteryx_plicata	16,559427	8,798881	16,456606	15,783258	8,790569	16,479389	17,611279	9,40246	16,640587	14,823195	9,480383	16,718021	18,075027	10,17977	16,501614	14,496984	10,199585	16,534435	18,608557	11,46175	15,725195	13,74224	11,352043	15,720729	18,971462	14,251863	15,274297	13,572848	14,303948	15,367397	17,284985	16,580109	14,88583	15,252317	16,695904	14,857857	18,780663	17,180544	16,316454	13,810855	17,272709	16,338844	20,129801	20,193077	16,517326	12,646776	20,323818	16,636881	19,898746	18,855793	16,632212	NA	NA	NA	18,898125	18,822111	15,021914	NA	NA	NA	18,34885	21,972988	16,878258	14,450483	22,051884	16,882183	16,480305	22,90588	17,895142	16,282843	20,833534	16,194803	16,31118	14,432675	16,299452	16,290243	10,625968	16,942837	16,25864	10,333035	18,554729	16,2934	11,581	18,7877	16,3808	12,9316	18,9397	16,4931	14,1645	19,3109	16,4336	14,7878	20,5011	16,4213	15,9182	21,2642	16,4436	17,1948	21,722	16,4472	18,5535	21,8615	16,4177	19,9091	21,7587	16,4155	21,2586	21,5683	16,384659	22,497337	21,093735	19,420395	11,208647	16,925631	19,6483	11,7033	15,9019	19,8712	12,7291	15,4227	20,1395	13,8283	15,6913	20,4464	14,7595	16,3382	20,6375	15,89	16,52	20,7322	17,05	16,6609	20,155987	18,026211	16,799938	19,439693	13,5995	15,105337	19,7092	14,1467	15,4251	19,9502	14,7083	15,7419	20,1725	15,2687	16,0684	20,4107	15,8992	16,21	20,6686	16,5159	16,3574	20,7036	17,1679	16,3677	20,111725	17,355825	16,156235	13,056258	11,370092	16,72777	12,8638	12,0674	15,8467	12,6208	13,1509	15,509	12,3663	14,0967	15,9134	12,1135	15,0512	16,5375	11,927	16,2039	16,6535	11,9213	17,3585	16,7737	12,569038	18,246159	16,95219	12,906825	13,763226	15,258674	12,6513	14,2758	15,6044	12,4316	14,8396	15,8917	12,2562	15,4161	16,1849	12,0607	16,0285	16,3696	11,9008	16,6511	16,4949	11,9014	17,2761	16,5042	12,487493	17,387894	16,285479
